Original	Reconstructed	Difference
226.0	226.0	
762.0	762.0	
581.0	581.0	
388.0	388.0	
697.0	697.0	
910.0	910.0	
744.0	744.0	
898.0	898.0	
284.0	284.0	
524.0	524.0	
826.0	826.0	
765.0	765.0	
595.0	595.0	
96.0	96.0	
171.0	171.0	
822.0	822.0	
358.0	358.0	
566.0	566.0	
486.0	486.0	
422.0	422.0	
308.0	308.0	
91.0	91.0	
974.0	974.0	
74.0	74.0	
577.0	580.0	TRUE
583.0	580.0	TRUE
365.0	365.0	
24.0	24.0	
755.0	755.0	
147.0	147.0	
835.0	835.0	
888.0	888.0	
74.0	74.0	
850.0	850.0	
411.0	413.5	TRUE
416.0	413.5	TRUE
299.0	299.0	
164.0	164.0	
905.0	905.0	
829.0	829.0	
85.0	85.0	
26.0	26.0	
823.0	823.0	
762.0	762.0	
384.0	384.0	
946.0	946.0	
862.0	862.0	
229.0	229.0	
991.0	991.0	
127.0	127.0	
300.0	300.0	
225.0	225.0	
663.0	663.0	
877.0	877.0	
328.0	328.0	
665.0	665.0	
430.0	430.0	
557.0	557.0	
128.0	128.0	
482.0	482.0	
871.0	871.0	
983.0	983.0	
213.0	213.0	
486.0	486.0	
555.0	555.0	
273.0	273.0	
445.0	445.0	
985.0	985.0	
279.0	279.0	
190.0	190.0	
34.0	34.0	
149.0	149.0	
963.0	963.0	
241.0	241.0	
172.0	172.0	
997.0	997.0	
617.0	617.0	
144.0	144.0	
442.0	442.0	
539.0	539.0	
236.0	236.0	
745.0	745.0	
565.0	565.0	
9.0	9.0	
758.0	758.5	TRUE
759.0	758.5	TRUE
831.0	831.0	
182.0	182.0	
961.0	961.0	
838.0	838.0	
325.0	325.0	
835.0	835.0	
87.0	87.0	
114.0	114.0	
87.0	87.0	
968.0	968.0	
86.0	86.0	
390.0	390.0	
25.0	25.0	
856.0	856.0	
672.0	672.0	
756.0	756.0	
684.0	684.0	
754.0	754.0	
648.0	648.0	
952.0	952.0	
380.0	380.0	
576.0	576.0	
32.0	32.0	
104.0	104.0	
722.0	722.0	
923.0	923.0	
521.0	521.0	
727.0	727.0	
222.0	222.0	
353.0	353.0	
28.0	32.5	TRUE
37.0	32.5	TRUE
745.0	745.0	
509.0	509.0	
41.0	41.0	
543.0	543.0	
680.0	680.0	
719.0	719.0	
428.0	428.0	
952.0	952.0	
3.0	3.0	
471.0	471.0	
276.0	276.0	
35.0	35.0	
117.0	117.0	
331.0	331.0	
504.0	504.0	
420.0	420.0	
921.0	921.0	
972.0	972.0	
155.0	155.0	
20.0	20.0	
177.0	177.0	
289.0	289.0	
744.0	744.0	
684.0	684.0	
92.0	99.0	TRUE
106.0	99.0	TRUE
911.0	911.0	
271.0	271.0	
176.0	176.0	
874.0	874.0	
178.0	178.0	
770.0	770.0	
984.0	984.0	
460.0	460.0	
4.0	4.0	
936.0	936.0	
601.0	601.0	
230.0	230.0	
342.0	342.0	
497.0	497.0	
320.0	320.0	
213.0	213.0	
451.0	451.0	
367.0	367.0	
726.0	726.0	
449.0	449.0	
173.0	173.0	
308.0	308.0	
563.0	563.0	
194.0	194.0	
676.0	676.0	
304.0	304.0	
470.0	470.0	
656.0	656.0	
913.0	913.0	
8.0	8.0	
579.0	579.0	
448.0	448.0	
191.0	191.0	
874.0	874.0	
791.0	791.0	
530.0	530.0	
875.0	875.0	
364.0	364.0	
99.0	99.0	
403.0	403.0	
475.0	475.0	
690.0	690.0	
403.0	403.0	
105.0	105.0	
528.0	528.0	
335.0	335.0	
421.0	421.0	
286.0	286.0	
773.0	773.0	
992.0	992.0	
369.0	369.0	
513.0	513.0	
854.0	854.0	
188.0	188.0	
855.0	855.0	
931.0	931.0	
678.0	678.0	
521.0	521.0	
606.0	606.0	
522.0	522.0	
532.0	532.0	
822.0	822.0	
565.0	565.0	
37.0	37.0	
114.0	114.0	
221.0	221.0	
657.0	657.0	
112.0	112.0	
1000.0	1000.0	
7.0	7.0	
868.0	868.0	
537.0	537.0	
175.0	165.0	TRUE
155.0	165.0	TRUE
904.0	904.0	
875.0	875.0	
715.0	715.0	
776.0	776.0	
603.0	603.0	
362.0	362.0	
427.0	427.0	
589.0	589.0	
668.0	668.0	
826.0	826.0	
118.0	118.0	
173.0	173.0	
608.0	608.0	
582.0	582.0	
296.0	296.0	
443.0	443.0	
184.0	184.0	
386.0	386.0	
511.0	511.0	
571.0	571.0	
399.0	399.0	
512.0	512.0	
940.0	940.0	
769.0	769.0	
759.0	759.0	
956.0	956.0	
276.0	276.0	
814.0	814.0	
347.0	348.0	TRUE
349.0	348.0	TRUE
344.0	342.5	TRUE
341.0	342.5	TRUE
201.0	201.0	
473.0	473.0	
730.0	733.5	TRUE
737.0	733.5	TRUE
251.0	251.0	
688.0	688.0	
631.0	631.0	
402.0	402.0	
697.0	697.0	
432.0	432.0	
815.0	815.0	
849.0	849.0	
161.0	161.0	
767.0	767.0	
275.0	275.0	
376.0	376.0	
621.0	621.0	
357.0	357.0	
916.0	916.0	
45.0	45.0	
710.0	710.0	
745.0	745.0	
95.0	95.0	
582.0	582.0	
270.0	270.0	
636.0	636.0	
488.0	488.0	
515.0	515.0	
822.0	822.0	
502.0	502.0	
25.0	25.0	
995.0	995.0	
274.0	274.0	
321.0	321.0	
790.0	786.5	TRUE
783.0	786.5	TRUE
515.0	515.0	
617.0	617.0	
565.0	565.0	
827.0	827.0	
331.0	331.0	
883.0	883.0	
174.0	174.0	
812.0	812.0	
517.0	517.0	
45.0	45.0	
77.0	77.0	
240.0	240.0	
447.0	447.0	
277.0	277.0	
292.0	292.0	
329.0	329.0	
512.0	512.0	
791.0	791.0	
709.0	709.0	
188.0	188.0	
682.0	682.0	
203.0	203.0	
941.0	941.0	
746.0	746.0	
665.0	665.0	
725.0	725.0	
671.0	671.0	
395.0	395.0	
517.0	517.0	
185.0	185.0	
467.0	467.0	
533.0	533.0	
959.0	959.0	
66.0	66.0	
968.0	968.0	
47.0	47.0	
205.0	205.0	
180.0	180.0	
663.0	663.0	
341.0	341.0	
814.0	814.0	
350.0	350.0	
317.0	317.0	
659.0	659.0	
223.0	223.0	
917.0	917.0	
440.0	440.0	
720.0	720.0	
566.0	566.0	
853.0	853.0	
942.0	942.0	
525.0	525.0	
409.0	409.0	
903.0	903.0	
206.0	206.0	
811.0	811.0	
67.0	67.0	
404.0	404.0	
750.0	750.0	
648.0	648.0	
782.0	782.0	
103.0	103.0	
468.0	468.0	
384.0	384.0	
206.0	206.0	
464.0	464.0	
103.0	96.5	TRUE
90.0	96.5	TRUE
701.0	701.0	
240.0	240.0	
946.0	946.0	
573.0	573.0	
217.0	217.0	
356.0	356.0	
213.0	213.0	
736.0	736.0	
488.0	488.0	
311.0	311.0	
175.0	175.0	
570.0	570.0	
594.0	594.0	
88.0	88.0	
646.0	646.0	
299.0	299.0	
187.0	187.0	
738.0	738.0	
456.0	456.0	
122.0	122.0	
319.0	319.0	
757.0	757.0	
846.0	846.0	
781.0	781.0	
879.0	879.0	
809.0	809.0	
406.0	406.0	
46.0	46.0	
64.0	64.0	
311.0	311.0	
324.0	324.0	
872.0	872.0	
394.0	394.0	
989.0	989.0	
564.0	564.0	
722.0	722.0	
545.0	545.0	
762.0	762.0	
420.0	420.0	
89.0	89.0	
313.0	313.0	
384.0	384.0	
67.0	67.0	
321.0	321.0	
134.0	135.0	TRUE
136.0	135.0	TRUE
315.0	315.0	
339.0	339.0	
610.0	610.0	
235.0	235.0	
492.0	492.0	
557.0	557.0	
779.0	779.0	
260.0	260.0	
445.0	441.5	TRUE
438.0	441.5	TRUE
501.0	501.0	
546.0	546.0	
271.0	271.0	
429.0	429.0	
823.0	823.0	
53.0	53.0	
513.0	513.0	
686.0	686.0	
614.0	614.0	
402.0	402.0	
609.0	609.0	
782.0	782.0	
988.0	988.0	
